Input,Actual
Write the first 15 multiples of 66,"Output the first 15 multiples of 66, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 66 by numbers 1 through 15, and write each result on its own line."
List the first 15 multiples of 67,"Output the first 15 multiples of 67, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 67 by numbers 1 through 15, and write each result on its own line."
Write the first 15 multiples of 68,"Output the first 15 multiples of 68, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 68 by numbers 1 through 15, and write each result on its own line."
List the first 15 multiples of 69,"Output the first 15 multiples of 69, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 69 by numbers 1 through 15, and write each result on its own line."
Write the first 15 multiples of 70,"Output the first 15 multiples of 70, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 70 by numbers 1 through 15, and write each result on its own line."
List the first 15 multiples of 71,"Output the first 15 multiples of 71, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 71 by numbers 1 through 15, and write each result on its own line."
Write the first 15 multiples of 72,"Output the first 15 multiples of 72, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 72 by numbers 1 through 15, and write each result on its own line."
List the first 15 multiples of 73,"Output the first 15 multiples of 73, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 73 by numbers 1 through 15, and write each result on its own line."
Write the first 15 multiples of 74,"Output the first 15 multiples of 74, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 74 by numbers 1 through 15, and write each result on its own line."
List the first 15 multiples of 75,"Output the first 15 multiples of 75, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 75 by numbers 1 through 15, and write each result on its own line."
Write the first 15 multiples of 76,"Output the first 15 multiples of 76, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 76 by numbers 1 through 15, and write each result on its own line."
List the first 15 multiples of 77,"Output the first 15 multiples of 77, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 77 by numbers 1 through 15, and write each result on its own line."
Write the first 15 multiples of 78,"Output the first 15 multiples of 78, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 78 by numbers 1 through 15, and write each result on its own line."
List the first 15 multiples of 79,"Output the first 15 multiples of 79, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 79 by numbers 1 through 15, and write each result on its own line."
Write the first 15 multiples of 80,"Output the first 15 multiples of 80, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 80 by numbers 1 through 15, and write each result on its own line."
List the first 15 multiples of 81,"Output the first 15 multiples of 81, each on a new line, in ascending order. Interpret the request, generate the sequence by multiplying 81 by numbers 1 through 15, and write each result on its own line."
